Entry_ID,Date Announced,State code,Num Cases,Current Status
401689,01/12/2020,TR,6,1
401690,01/12/2020,TR,1,1
401691,01/12/2020,TR,3,1
401692,01/12/2020,TR,3,1
401693,01/12/2020,TR,4,1
401694,01/12/2020,TR,14,1
401695,01/12/2020,TR,1,2
401696,01/12/2020,TR,6,2
401697,01/12/2020,TR,1,2
401698,01/12/2020,TR,4,2
401699,01/12/2020,TR,2,2
401700,01/12/2020,TR,8,2
401701,01/12/2020,TR,5,2
401702,01/12/2020,TR,7,2
401703,01/12/2020,MZ,13,1
401704,01/12/2020,MZ,4,1
401705,01/12/2020,MZ,4,1
401706,01/12/2020,MZ,1,1
401707,01/12/2020,TG,4,1
401708,01/12/2020,TG,33,1
401709,01/12/2020,TG,101,1
401710,01/12/2020,TG,11,1
401711,01/12/2020,TG,4,1
401712,01/12/2020,TG,9,1
401713,01/12/2020,TG,4,1
401714,01/12/2020,TG,6,1
401715,01/12/2020,TG,25,1
401716,01/12/2020,TG,30,1
401717,01/12/2020,TG,3,1
401718,01/12/2020,TG,6,1
401719,01/12/2020,TG,6,1
401720,01/12/2020,TG,11,1
401721,01/12/2020,TG,6,1
401722,01/12/2020,TG,46,1
401723,01/12/2020,TG,12,1
401724,01/12/2020,TG,6,1
401725,01/12/2020,TG,23,1
401726,01/12/2020,TG,0,1
401727,01/12/2020,TG,6,1
401728,01/12/2020,TG,7,1
401729,01/12/2020,TG,11,1
401730,01/12/2020,TG,8,1
401731,01/12/2020,TG,32,1
401732,01/12/2020,TG,12,1
401733,01/12/2020,TG,6,1
401734,01/12/2020,TG,19,1
401735,01/12/2020,TG,7,1
401736,01/12/2020,TG,9,1
401737,01/12/2020,TG,7,1
401738,01/12/2020,TG,24,1
401739,01/12/2020,TG,8,1
401740,01/12/2020,TG,894,2
401741,01/12/2020,TG,3,3
401742,01/12/2020,OR,38,1
401743,01/12/2020,OR,14,1
401744,01/12/2020,OR,3,1
401745,01/12/2020,OR,7,1
401746,01/12/2020,OR,22,1
401747,01/12/2020,OR,24,1
401748,01/12/2020,OR,1,1
401749,01/12/2020,OR,5,1
401750,01/12/2020,OR,7,1
401751,01/12/2020,OR,18,1
401752,01/12/2020,OR,8,1
401753,01/12/2020,OR,15,1
401754,01/12/2020,OR,8,1
401755,01/12/2020,OR,3,1
401756,01/12/2020,OR,10,1
401757,01/12/2020,OR,15,1
401758,01/12/2020,OR,37,1
401759,01/12/2020,OR,4,1
401760,01/12/2020,OR,1,1
401761,01/12/2020,OR,34,1
401762,01/12/2020,OR,3,1
401763,01/12/2020,OR,4,1
401764,01/12/2020,OR,21,1
401765,01/12/2020,OR,19,1
401766,01/12/2020,OR,14,1
401767,01/12/2020,OR,1,1
401768,01/12/2020,OR,32,1
401769,01/12/2020,OR,10,1
401770,01/12/2020,OR,1,3
401771,01/12/2020,OR,1,3
401772,01/12/2020,OR,1,3
401773,01/12/2020,OR,1,3
401774,01/12/2020,OR,1,3
401775,01/12/2020,DN,1,1
401776,01/12/2020,DN,2,2
401777,01/12/2020,MZ,50,2
401778,01/12/2020,MZ,6,2
401779,01/12/2020,MZ,10,2
401780,01/12/2020,MZ,3,2
401781,01/12/2020,MZ,2,2
401782,01/12/2020,MZ,1,2
401783,01/12/2020,MZ,1,2
401784,01/12/2020,MZ,1,3
401785,01/12/2020,BR,5,1
401786,01/12/2020,BR,2,1
401787,01/12/2020,BR,39,1
401788,01/12/2020,BR,7,1
401789,01/12/2020,BR,3,1
401790,01/12/2020,BR,18,1
401791,01/12/2020,BR,2,1
401792,01/12/2020,BR,4,1
401793,01/12/2020,BR,5,1
401794,01/12/2020,BR,9,1
401795,01/12/2020,BR,2,1
401796,01/12/2020,BR,6,1
401797,01/12/2020,BR,15,1
401798,01/12/2020,BR,3,1
401799,01/12/2020,BR,15,1
401800,01/12/2020,BR,3,1
401801,01/12/2020,BR,13,1
401802,01/12/2020,BR,4,1
401803,01/12/2020,BR,11,1
401804,01/12/2020,BR,12,1
401805,01/12/2020,BR,10,1
401806,01/12/2020,BR,38,1
401807,01/12/2020,BR,11,1
401808,01/12/2020,BR,19,1
401809,01/12/2020,BR,5,1
401810,01/12/2020,BR,136,1
401811,01/12/2020,BR,13,1
401812,01/12/2020,BR,13,1
401813,01/12/2020,BR,5,1
401814,01/12/2020,BR,2,1
401815,01/12/2020,BR,15,1
401816,01/12/2020,BR,2,1
401817,01/12/2020,BR,1,1
401818,01/12/2020,BR,1,1
401819,01/12/2020,BR,10,1
401820,01/12/2020,BR,12,1
401821,01/12/2020,BR,11,1
401822,01/12/2020,BR,13,2
401823,01/12/2020,BR,4,2
401824,01/12/2020,BR,3,2
401825,01/12/2020,BR,10,2
401826,01/12/2020,BR,8,2
401827,01/12/2020,BR,29,2
401828,01/12/2020,BR,5,2
401829,01/12/2020,BR,6,2
401830,01/12/2020,BR,10,2
401831,01/12/2020,BR,10,2
401832,01/12/2020,BR,1,2
401833,01/12/2020,BR,8,2
401834,01/12/2020,BR,24,2
401835,01/12/2020,BR,2,2
401836,01/12/2020,BR,3,2
401837,01/12/2020,BR,9,2
401838,01/12/2020,BR,15,2
401839,01/12/2020,BR,36,2
401840,01/12/2020,BR,22,2
401841,01/12/2020,BR,15,2
401842,01/12/2020,BR,11,2
401843,01/12/2020,BR,6,2
401844,01/12/2020,BR,5,2
401845,01/12/2020,BR,92,2
401846,01/12/2020,BR,8,2
401847,01/12/2020,BR,16,2
401848,01/12/2020,BR,2,2
401849,01/12/2020,BR,8,2
401850,01/12/2020,BR,87,2
401851,01/12/2020,BR,8,2
401852,01/12/2020,BR,1,2
401853,01/12/2020,BR,75,2
401854,01/12/2020,BR,12,2
401855,01/12/2020,BR,3,2
401856,01/12/2020,BR,2,3
401857,01/12/2020,BR,1,3
401858,01/12/2020,BR,1,3
401859,01/12/2020,AP,18,1
401860,01/12/2020,AP,95,1
401861,01/12/2020,AP,70,1
401862,01/12/2020,AP,87,1
401863,01/12/2020,AP,30,1
401864,01/12/2020,AP,146,1
401865,01/12/2020,AP,10,1
401866,01/12/2020,AP,39,1
401867,01/12/2020,AP,30,1
401868,01/12/2020,AP,3,1
401869,01/12/2020,AP,71,1
401870,01/12/2020,AP,9,1
401871,01/12/2020,AP,77,1
401872,01/12/2020,AP,18,2
401873,01/12/2020,AP,101,2
401874,01/12/2020,AP,105,2
401875,01/12/2020,AP,174,2
401876,01/12/2020,AP,17,2
401877,01/12/2020,AP,190,2
401878,01/12/2020,AP,21,2
401879,01/12/2020,AP,39,2
401880,01/12/2020,AP,40,2
401881,01/12/2020,AP,46,2
401882,01/12/2020,AP,152,2
401883,01/12/2020,AP,14,2
401884,01/12/2020,AP,177,2
401885,01/12/2020,AP,1,3
401886,01/12/2020,AP,1,3
401887,01/12/2020,AP,1,3
401888,01/12/2020,AP,1,3
401889,01/12/2020,JK,118,1
401890,01/12/2020,JK,18,1
401891,01/12/2020,JK,45,1
401892,01/12/2020,JK,9,1
401893,01/12/2020,JK,10,1
401894,01/12/2020,JK,10,1
401895,01/12/2020,JK,13,1
401896,01/12/2020,JK,6,1
401897,01/12/2020,JK,3,1
401898,01/12/2020,JK,5,1
401899,01/12/2020,JK,95,1
401900,01/12/2020,JK,25,1
401901,01/12/2020,JK,25,1
401902,01/12/2020,JK,13,1
401903,01/12/2020,JK,20,1
401904,01/12/2020,JK,3,1
401905,01/12/2020,JK,7,1
401906,01/12/2020,JK,6,1
401907,01/12/2020,JK,9,1
401908,01/12/2020,JK,14,1
401909,01/12/2020,JK,121,2
401910,01/12/2020,JK,44,2
401911,01/12/2020,JK,28,2
401912,01/12/2020,JK,13,2
401913,01/12/2020,JK,21,2
401914,01/12/2020,JK,6,2
401915,01/12/2020,JK,26,2
401916,01/12/2020,JK,14,2
401917,01/12/2020,JK,60,2
401918,01/12/2020,JK,8,2
401919,01/12/2020,JK,78,2
401920,01/12/2020,JK,21,2
401921,01/12/2020,JK,10,2
401922,01/12/2020,JK,53,2
401923,01/12/2020,JK,2,3
401924,01/12/2020,JK,1,3
401925,01/12/2020,JK,2,3
401926,01/12/2020,JK,1,3
401927,01/12/2020,JK,2,3
401928,01/12/2020,DL,4006,1
401929,01/12/2020,DL,5036,2
401930,01/12/2020,DL,86,3
401931,01/12/2020,KL,1,3
401932,01/12/2020,KL,1,3
401933,01/12/2020,KL,1,3
401934,01/12/2020,KL,1,3
401935,01/12/2020,KL,1,3
401936,01/12/2020,KL,1,3
401937,01/12/2020,KL,1,3
401938,01/12/2020,KL,1,3
401939,01/12/2020,KL,1,3
401940,01/12/2020,KL,1,3
401941,01/12/2020,KL,1,3
401942,01/12/2020,KL,1,3
401943,01/12/2020,KL,1,3
401944,01/12/2020,KL,1,3
401945,01/12/2020,KL,1,3
401946,01/12/2020,KL,1,3
401947,01/12/2020,KL,1,3
401948,01/12/2020,KL,1,3
401949,01/12/2020,KL,1,3
401950,01/12/2020,KL,1,3
401951,01/12/2020,KL,1,3
401952,01/12/2020,KL,1,3
401953,01/12/2020,KL,1,3
401954,01/12/2020,KL,1,3
401955,01/12/2020,KL,1,3
401956,01/12/2020,KL,1,3
401957,01/12/2020,KL,404,1
401958,01/12/2020,KL,349,1
401959,01/12/2020,KL,283,1
401960,01/12/2020,KL,279,1
401961,01/12/2020,KL,585,1
401962,01/12/2020,KL,161,1
401963,01/12/2020,KL,504,1
401964,01/12/2020,KL,630,1
401965,01/12/2020,KL,323,1
401966,01/12/2020,KL,886,1
401967,01/12/2020,KL,516,1
401968,01/12/2020,KL,150,1
401969,01/12/2020,KL,222,1
401970,01/12/2020,KL,83,1
401971,01/12/2020,KL,467,2
401972,01/12/2020,KL,543,2
401973,01/12/2020,KL,232,2
401974,01/12/2020,KL,542,2
401975,01/12/2020,KL,399,2
401976,01/12/2020,KL,79,2
401977,01/12/2020,KL,659,2
401978,01/12/2020,KL,683,2
401979,01/12/2020,KL,493,2
401980,01/12/2020,KL,862,2
401981,01/12/2020,KL,590,2
401982,01/12/2020,KL,138,2
401983,01/12/2020,KL,321,2
401984,01/12/2020,KL,143,2
401985,01/12/2020,RJ,84,1
401986,01/12/2020,RJ,117,1
401987,01/12/2020,RJ,15,1
401988,01/12/2020,RJ,4,1
401989,01/12/2020,RJ,29,1
401990,01/12/2020,RJ,95,1
401991,01/12/2020,RJ,43,1
401992,01/12/2020,RJ,35,1
401993,01/12/2020,RJ,36,1
401994,01/12/2020,RJ,12,1
401995,01/12/2020,RJ,26,1
401996,01/12/2020,RJ,24,1
401997,01/12/2020,RJ,7,1
401998,01/12/2020,RJ,68,1
401999,01/12/2020,RJ,75,1
402000,01/12/2020,RJ,10,1
402001,01/12/2020,RJ,692,1
402002,01/12/2020,RJ,23,1
402003,01/12/2020,RJ,48,1
402004,01/12/2020,RJ,10,1
402005,01/12/2020,RJ,30,1
402006,01/12/2020,RJ,314,1
402007,01/12/2020,RJ,8,1
402008,01/12/2020,RJ,169,1
402009,01/12/2020,RJ,93,1
402010,01/12/2020,RJ,48,1
402011,01/12/2020,RJ,8,1
402012,01/12/2020,RJ,17,1
402013,01/12/2020,RJ,44,1
402014,01/12/2020,RJ,20,1
402015,01/12/2020,RJ,24,1
402016,01/12/2020,RJ,9,1
402017,01/12/2020,RJ,110,1
402018,01/12/2020,RJ,210,2
402019,01/12/2020,RJ,139,2
402020,01/12/2020,RJ,4,2
402021,01/12/2020,RJ,31,2
402022,01/12/2020,RJ,53,2
402023,01/12/2020,RJ,56,2
402024,01/12/2020,RJ,128,2
402025,01/12/2020,RJ,215,2
402026,01/12/2020,RJ,29,2
402027,01/12/2020,RJ,55,2
402028,01/12/2020,RJ,28,2
402029,01/12/2020,RJ,30,2
402030,01/12/2020,RJ,12,2
402031,01/12/2020,RJ,39,2
402032,01/12/2020,RJ,115,2
402033,01/12/2020,RJ,26,2
402034,01/12/2020,RJ,551,2
402035,01/12/2020,RJ,24,2
402036,01/12/2020,RJ,17,2
402037,01/12/2020,RJ,15,2
402038,01/12/2020,RJ,46,2
402039,01/12/2020,RJ,444,2
402040,01/12/2020,RJ,203,2
402041,01/12/2020,RJ,94,2
402042,01/12/2020,RJ,84,2
402043,01/12/2020,RJ,4,2
402044,01/12/2020,RJ,27,2
402045,01/12/2020,RJ,43,2
402046,01/12/2020,RJ,95,2
402047,01/12/2020,RJ,23,2
402048,01/12/2020,RJ,85,2
402049,01/12/2020,RJ,82,2
402050,01/12/2020,RJ,1,3
402051,01/12/2020,RJ,2,3
402052,01/12/2020,RJ,1,3
402053,01/12/2020,RJ,1,3
402054,01/12/2020,RJ,4,3
402055,01/12/2020,RJ,1,3
402056,01/12/2020,RJ,1,3
402057,01/12/2020,RJ,3,3
402058,01/12/2020,RJ,2,3
402059,01/12/2020,RJ,1,3
402060,01/12/2020,RJ,1,3
402061,01/12/2020,RJ,1,3
402064,26/11/2020,KL,1,Migrated_Other
402069,18/11/2020,KL,1,Migrated_Other
402071,01/12/2020,ML,16,1
402072,01/12/2020,ML,36,1
402073,01/12/2020,ML,4,1
402074,01/12/2020,ML,2,1
402075,01/12/2020,ML,6,1
402076,01/12/2020,ML,1,1
402077,01/12/2020,ML,8,2
402078,01/12/2020,ML,65,2
402079,01/12/2020,ML,4,2
402080,01/12/2020,ML,8,2
402081,01/12/2020,ML,3,2
402082,01/12/2020,ML,70,2
402083,01/12/2020,ML,1,3
402084,01/12/2020,UT,32,1
402085,01/12/2020,UT,14,1
402086,01/12/2020,UT,43,1
402087,01/12/2020,UT,10,1
402088,01/12/2020,UT,164,1
402089,01/12/2020,UT,40,1
402090,01/12/2020,UT,24,1
402091,01/12/2020,UT,26,1
402092,01/12/2020,UT,51,1
402093,01/12/2020,UT,4,1
402094,01/12/2020,UT,25,1
402095,01/12/2020,UT,24,1
402096,01/12/2020,UT,16,1
402097,01/12/2020,UT,42,2
402098,01/12/2020,UT,9,2
402099,01/12/2020,UT,24,2
402100,01/12/2020,UT,1,2
402101,01/12/2020,UT,181,2
402102,01/12/2020,UT,35,2
402103,01/12/2020,UT,37,2
402104,01/12/2020,UT,84,2
402105,01/12/2020,UT,62,2
402106,01/12/2020,UT,11,2
402107,01/12/2020,UT,22,2
402108,01/12/2020,UT,27,2
402109,01/12/2020,UT,3,2
402110,01/12/2020,UT,2,3
402111,01/12/2020,UT,2,3
402112,01/12/2020,UT,2,3
402113,01/12/2020,UT,1,3
402114,01/12/2020,UT,1,Migrated_Other
402115,01/12/2020,UT,1,Migrated_Other
402116,01/12/2020,UT,23,Migrated_Other
402117,01/12/2020,UT,4,Migrated_Other
402118,01/12/2020,UT,10,Migrated_Other
402119,01/12/2020,UT,1,Migrated_Other
402120,01/12/2020,OR,44,2
402121,01/12/2020,OR,18,2
